"","gene","cluster_id","sc_2.cpm","sc_43.cpm","sc_50.cpm","sc_5.cpm","sc_46.cpm","sc_49.cpm","sc_2.frq","sc_43.frq","sc_50.frq","sc_5.frq","sc_46.frq","sc_49.frq","BRZ.frq","BL.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"105","AT1G11655","all",2.67,3.22,7.36,1.48,1.93,2.75,0.018,0.0181,0.0322,0.00991,0.0159,0.0186,0.0214,0.014,-1.07,1.7,12.5,0.00733,0.0469,1,"BL-BRZ","AT1G11655",NA,NA,"Down","all_Down"
"106","AT1G11700","all",6.07,7.13,6.89,8.73,9.54,12,0.0583,0.0699,0.0828,0.0677,0.106,0.127,0.0689,0.0945,0.587,3.07,20.7,0.00175,0.0183,1,"BL-BRZ","AT1G11700",NA,NA,"Up","all_Up"
"107","AT1G11720","all",23.4,17.9,14,10.1,7.44,4.55,0.147,0.117,0.109,0.0794,0.0755,0.0511,0.126,0.071,-1.34,3.69,49.7,9.39e-05,0.00308,1,"BL-BRZ","ATSS3",NA,NA,"Down","all_Down"
"108","AT1G11740","all",29.4,26.5,26.9,41.5,50.6,69,0.135,0.154,0.173,0.161,0.267,0.308,0.152,0.231,0.943,5.35,31.6,0.000453,0.0078,1,"BL-BRZ","AT1G11740",NA,NA,"Up","all_Up"
"109","AT1G12020","all",8.61,9.65,9.67,12.9,17.2,15.5,0.072,0.081,0.0951,0.0878,0.146,0.127,0.0812,0.116,0.701,3.62,42.4,0.000165,0.00428,1,"BL-BRZ","AT1G12020",NA,NA,"Up","all_Up"
"110","AT1G12040","all",46.8,34.1,40.6,30.3,20.9,26.4,0.0767,0.0529,0.0543,0.0735,0.037,0.0374,0.0615,0.0532,-0.649,5.05,29.6,0.00056,0.00899,1,"BL-BRZ","LRX1",NA,NA,"Down","all_Down"
"111","AT1G12080","all",413,547,655,855,1470,1680,0.183,0.297,0.289,0.332,0.427,0.438,0.255,0.388,1.28,9.87,93,9.22e-06,0.000798,0.216,"BL-BRZ","AT1G12080",NA,NA,"Up","all_Up"
"112","AT1G12090","all",907,730,744,1480,1670,1220,0.453,0.26,0.22,0.721,0.511,0.377,0.318,0.569,0.882,10.1,38.3,0.000235,0.00532,1,"BL-BRZ","ELP",NA,NA,"Up","all_Up"
"113","AT1G12200","all",0.661,1.34,1.39,2.7,2.23,2.76,0.00652,0.0101,0.0104,0.0173,0.0168,0.0183,0.00894,0.0174,1.23,0.899,23.6,0.00116,0.014,1,"BL-BRZ","AT1G12200",NA,NA,"Up","all_Up"
"114","AT1G12240","all",134,82.3,76.6,244,141,137,0.413,0.303,0.321,0.551,0.479,0.466,0.345,0.507,0.827,7.09,74.5,2.13e-05,0.00129,0.496,"BL-BRZ","BFRUCT4",NA,NA,"Up","all_Up"
"115","AT1G12320","all",2.91,1.33,2.37,4.03,3.45,3.79,0.031,0.0136,0.0291,0.0308,0.0351,0.0371,0.0234,0.0337,0.803,1.58,12.3,0.00768,0.0483,1,"BL-BRZ","AT1G12320",NA,NA,"Up","all_Up"
"116","AT1G12500","all",23.2,31.5,26.4,57,58.4,57.5,0.194,0.229,0.221,0.318,0.379,0.371,0.215,0.35,1.1,5.4,96.1,8.13e-06,0.000749,0.19,"BL-BRZ","AT1G12500",NA,NA,"Up","all_Up"
"117","AT1G12550","all",3.24,3.11,3.72,4.84,4.75,6.01,0.0347,0.0305,0.0444,0.0407,0.0491,0.0594,0.0353,0.048,0.629,2.1,17.3,0.00297,0.0258,1,"BL-BRZ","HPR3",NA,NA,"Up","all_Up"
"118","AT1G12630","all",1.53,2.04,3.27,2.02,5.06,5.58,0.0117,0.0183,0.0267,0.0114,0.0333,0.0362,0.018,0.0244,0.816,1.71,14.2,0.00519,0.0372,1,"BL-BRZ","ERF027","AT1G12630","Integrase-type DNA-binding superfamily protein","Up","all_Up"
"119","AT1G12663","all",0.227,1.05,0.993,1.22,2.27,3.81,0.002,0.0053,0.00668,0.0047,0.0133,0.0135,0.00447,0.00956,1.79,0.687,44.6,0.000138,0.00382,1,"BL-BRZ","AT1G12663",NA,NA,"Up","all_Up"
"120","AT1G12845","all",32.9,21.1,18.5,17.2,16.7,12.2,0.0889,0.0695,0.0692,0.0715,0.0965,0.0649,0.0762,0.0775,-0.616,4.31,15.6,0.00402,0.0315,1,"BL-BRZ","AT1G12845",NA,NA,"Down","all_Down"
"121","AT1G12950","all",65.3,44.8,49.2,31.1,19.7,23.7,0.18,0.119,0.137,0.115,0.074,0.0686,0.144,0.0906,-1.1,5.28,108,5.13e-06,0.000585,0.12,"BL-BRZ","DTX31",NA,NA,"Down","all_Down"
"122","AT1G13100","all",0.622,0.385,0.427,0.973,0.948,1.32,0.00692,0.00451,0.00688,0.0097,0.013,0.0167,0.00591,0.0125,1.19,-0.328,20.1,0.0019,0.0194,1,"BL-BRZ","CYP71B29",NA,NA,"Up","all_Up"
"123","AT1G13110","all",1.57,1.57,1.54,13.9,15.6,19.5,0.0158,0.0151,0.0179,0.0966,0.134,0.141,0.016,0.119,3.38,3.17,488,1.3e-08,5.9e-05,0.000308,"BL-BRZ","CYP71B7",NA,NA,"Up","all_Up"
"124","AT1G13430","all",1.4,1.65,1.69,6.86,8.8,9.67,0.0126,0.0158,0.0195,0.051,0.0818,0.0869,0.0156,0.0695,2.41,2.33,321,7.03e-08,8.41e-05,0.00166,"BL-BRZ","STO9",NA,NA,"Up","all_Up"
"125","AT1G13530","all",10.2,13.4,12.7,5.26,8.36,7.81,0.0961,0.104,0.113,0.0467,0.0799,0.0827,0.103,0.066,-0.781,3.27,44.3,0.000142,0.00389,1,"BL-BRZ","AT1G13530",NA,NA,"Down","all_Down"
"126","AT1G13600","all",1.18,4.52,6.88,3.15,9.73,13.1,0.00825,0.0193,0.0226,0.0155,0.028,0.0335,0.0162,0.0239,1.13,2.69,30.4,0.000515,0.00848,1,"BL-BRZ","AtbZIP58","bZIP58","basic leucine-zipper 58","Up","all_Up"
"127","AT1G13610","all",3.31,1.16,1.47,0.334,0.147,0.0983,0.0262,0.0104,0.012,0.00296,0.0019,0.00106,0.0163,0.00215,-3.35,0.144,195,5.19e-07,0.000189,0.0123,"BL-BRZ","AT1G13610",NA,NA,"Down","all_Down"
"128","AT1G13620","all",5.1,1.64,1.25,8.84,2.63,3.08,0.00972,0.00327,0.00315,0.0136,0.00628,0.00709,0.0055,0.0097,0.91,1.92,32.3,0.000422,0.0075,1,"BL-BRZ","RGF2",NA,NA,"Up","all_Up"
"129","AT1G13670","all",19.9,18.5,19.4,24.3,32.2,40,0.069,0.0891,0.0977,0.0888,0.156,0.171,0.0841,0.13,0.717,4.69,22.3,0.00139,0.0157,1,"BL-BRZ","AT1G13670",NA,NA,"Up","all_Up"
"130","AT1G14040","all",14.2,14,15.4,28,17.3,24.5,0.0928,0.0903,0.111,0.124,0.112,0.123,0.096,0.12,0.664,4.24,17.3,0.00298,0.0258,1,"BL-BRZ","PHO1;H3",NA,NA,"Up","all_Up"
"131","AT1G14200","all",89.9,114,182,44.7,95.6,79.9,0.393,0.342,0.459,0.234,0.337,0.307,0.387,0.284,-0.84,6.66,22.3,0.0014,0.0158,1,"BL-BRZ","AT1G14200","AT1G14200","RING/U-box superfamily protein","Down","all_Down"
"132","AT1G14205","all",0.592,0.633,0.704,1.18,2,2.29,0.00706,0.00789,0.00963,0.0117,0.025,0.0291,0.00801,0.0202,1.46,0.323,46,0.000123,0.00358,1,"BL-BRZ","AT1G14205",NA,NA,"Up","all_Up"
"133","AT1G14210","all",60.8,62.3,67.6,116,143,149,0.328,0.282,0.303,0.475,0.518,0.534,0.303,0.503,1.09,6.64,111,4.63e-06,0.000565,0.109,"BL-BRZ","AT1G14210",NA,NA,"Up","all_Up"
"134","AT1G14280","all",7.88,6.95,5.56,12.5,15.2,13.7,0.0575,0.0479,0.0448,0.0826,0.12,0.107,0.0505,0.1,1.03,3.37,42.9,0.000158,0.00417,1,"BL-BRZ","PKS2",NA,NA,"Up","all_Up"
"135","AT1G14540","all",4.88,2.91,3.4,23.1,7.75,13.3,0.0234,0.0159,0.0167,0.0708,0.0336,0.0401,0.0187,0.0516,1.91,3.21,75.6,2.01e-05,0.00123,0.469,"BL-BRZ","PER4",NA,NA,"Up","all_Up"
"136","AT1G14550","all",1.08,0.214,0.104,9.71,1.71,3.96,0.00572,0.00135,0.00157,0.0377,0.0114,0.0176,0.00293,0.0245,3.68,1.49,86.7,1.2e-05,0.000932,0.281,"BL-BRZ","PER5",NA,NA,"Up","all_Up"
"137","AT1G14660","all",2.97,1.89,1.71,1.66,1.26,1.15,0.0314,0.0216,0.0238,0.0156,0.0177,0.0163,0.0256,0.0164,-0.67,0.844,16.8,0.00324,0.0273,1,"BL-BRZ","NHX8",NA,NA,"Down","all_Down"
"138","AT1G14686","all",0.188,0.231,0.416,0.0295,0.092,0.12,0.00213,0.00259,0.00491,0.000306,0.00146,0.00195,0.00298,0.00108,-1.82,-2.35,16.8,0.00325,0.0274,1,"BL-BRZ","AT1G14686",NA,NA,"Down","all_Down"
"139","AT1G14890","all",54.1,101,102,116,134,143,0.0817,0.106,0.104,0.13,0.132,0.117,0.0969,0.127,0.661,6.76,21.2,0.00161,0.0174,1,"BL-BRZ","AT1G14890",NA,NA,"Up","all_Up"
"140","AT1G14960","all",51.4,124,160,33.2,43.7,92.8,0.22,0.175,0.196,0.185,0.11,0.146,0.196,0.152,-0.914,6.39,12.6,0.00726,0.0467,1,"BL-BRZ","AT1G14960",NA,NA,"Down","all_Down"
"141","AT1G14970","all",9.58,8.83,7.35,2.85,2.75,2.75,0.102,0.0912,0.0936,0.0278,0.0368,0.039,0.0957,0.0334,-1.62,2.51,142,1.81e-06,0.000361,0.0427,"BL-BRZ","OFUT4",NA,NA,"Down","all_Down"
"142","AT1G15040","all",16.5,8.43,8.82,31.8,10.2,14.5,0.0785,0.0596,0.0716,0.131,0.0713,0.0795,0.0691,0.0998,0.662,3.91,17.6,0.00283,0.0251,1,"BL-BRZ","GAT1_2.1",NA,NA,"Up","all_Up"
"143","AT1G15175","all",2.37,2.98,2.52,1.27,1.53,1.51,0.0292,0.034,0.0356,0.0128,0.0222,0.0225,0.0327,0.0181,-0.872,1.04,31.4,0.000459,0.00785,1,"BL-BRZ","AT1G15175",NA,NA,"Down","all_Down"
"144","AT1G15210","all",230,207,185,367,314,326,0.63,0.594,0.597,0.746,0.778,0.749,0.607,0.756,0.696,8.08,47.7,0.000109,0.00334,1,"BL-BRZ","ABCG35",NA,NA,"Up","all_Up"
"145","AT1G15330","all",6.04,4.26,5.04,2.74,3.09,3.09,0.0498,0.0316,0.0399,0.022,0.0302,0.0266,0.0399,0.0257,-0.771,2.02,22.3,0.00138,0.0157,1,"BL-BRZ","PV42A",NA,NA,"Down","all_Down"
"146","AT1G15460","all",8.99,4.77,4.2,1.94,1.1,1.38,0.0776,0.0392,0.0436,0.0179,0.0143,0.0163,0.0537,0.0164,-1.98,1.91,147,1.59e-06,0.000342,0.0374,"BL-BRZ","BOR4",NA,NA,"Down","all_Down"
"147","AT1G15550","all",4.33,5.27,3.95,6.67,9.16,7.73,0.0338,0.0248,0.0277,0.0406,0.0577,0.0383,0.0286,0.0453,0.789,2.63,25.5,0.000917,0.0122,1,"BL-BRZ","GA3OX1",NA,NA,"Up","all_Up"
"148","AT1G15625","all",1.41,1.71,2.39,3.06,9.05,12.2,0.0116,0.0154,0.022,0.0236,0.051,0.0578,0.0156,0.0407,1.98,2.32,48.9,9.94e-05,0.0032,1,"BL-BRZ","AT1G15625",NA,NA,"Up","all_Up"
"149","AT1G15630","all",0.652,1.87,1.94,4.45,7.43,6.26,0.00732,0.0201,0.0254,0.0367,0.0596,0.0502,0.0169,0.0471,2.12,1.92,102,6.5e-06,0.000667,0.152,"BL-BRZ","AT1G15630",NA,NA,"Up","all_Up"
"150","AT1G15640","all",3.9,2.71,3.06,8.82,8.17,7.49,0.0338,0.0265,0.0307,0.0624,0.0811,0.0717,0.03,0.0705,1.35,2.51,101,6.62e-06,0.000667,0.155,"BL-BRZ","AT1G15640",NA,NA,"Up","all_Up"
"151","AT1G15740","all",16.7,16.2,16.1,13.8,8.26,10.3,0.16,0.135,0.158,0.108,0.0933,0.107,0.149,0.103,-0.626,3.76,18.6,0.0024,0.0224,1,"BL-BRZ","AT1G15740",NA,NA,"Down","all_Down"
"152","AT1G16030","all",26.1,31.8,53.7,15.3,19,18.8,0.13,0.12,0.169,0.0797,0.098,0.0878,0.135,0.0874,-1.04,4.78,30.6,0.000505,0.0084,1,"BL-BRZ","HSP70-5",NA,NA,"Down","all_Down"
"153","AT1G16060","all",0.731,1.28,1.11,1.36,2.38,1.79,0.00919,0.0149,0.0155,0.0136,0.0298,0.0234,0.013,0.0211,0.83,0.55,19.3,0.00216,0.0211,1,"BL-BRZ","ADAP","ADAP","ARIA-interacting double AP2 domain protein","Up","all_Up"
"154","AT1G16230","all",0.365,0.265,0.254,0.698,0.534,0.852,0.00426,0.00316,0.00374,0.00654,0.00657,0.00922,0.00368,0.00723,1.24,-0.965,18.8,0.00234,0.0221,1,"BL-BRZ","AT1G16230",NA,NA,"Up","all_Up"
"155","AT1G16390","all",13.8,16.1,15.2,38.5,38.7,43.9,0.0353,0.0319,0.0307,0.0688,0.0584,0.0628,0.0328,0.0641,1.43,4.79,219,3.28e-07,0.000149,0.00775,"BL-BRZ","OCT3",NA,NA,"Up","all_Up"
"156","AT1G16430","all",16,14.7,13.3,8.26,11,8.53,0.137,0.119,0.13,0.0689,0.112,0.0912,0.128,0.0878,-0.663,3.58,20.2,0.00188,0.0192,1,"BL-BRZ","MED22A",NA,NA,"Down","all_Down"
"157","AT1G16500","all",1.78,4.38,3.68,1.09,1.96,2.14,0.0192,0.0368,0.0356,0.0095,0.0213,0.0225,0.0304,0.0164,-0.892,1.34,31.7,0.000446,0.00775,1,"BL-BRZ","AT1G16500",NA,NA,"Down","all_Down"
"158","AT1G16510","all",2.9,5.06,4.3,5.81,6.69,5.96,0.0289,0.0329,0.0342,0.0426,0.0428,0.0397,0.0318,0.0419,0.619,2.36,14.5,0.00496,0.036,1,"BL-BRZ","SAUR41",NA,NA,"Up","all_Up"
"159","AT1G17020","all",0.81,0.95,1.4,0.324,0.248,0.338,0.00812,0.00958,0.0142,0.00317,0.00365,0.00408,0.0102,0.00355,-1.77,-0.529,38.7,0.000227,0.00526,1,"BL-BRZ","SRG1",NA,NA,"Down","all_Down"
"160","AT1G17300","all",32.8,21.4,21.9,62.3,46.3,36.3,0.0957,0.0594,0.0552,0.163,0.144,0.123,0.0711,0.147,0.929,5.2,69.8,2.72e-05,0.0015,0.633,"BL-BRZ","AT1G17300",NA,NA,"Up","all_Up"
"161","AT1G18390","all",20.8,13.6,15.2,12.7,7.64,10.3,0.196,0.122,0.158,0.107,0.0901,0.107,0.156,0.102,-0.693,3.74,26.9,0.000768,0.011,1,"BL-BRZ","AT1G18390",NA,NA,"Down","all_Down"
"162","AT1G18460","all",17.4,4.67,6.1,11.6,3.29,3.59,0.168,0.0519,0.0782,0.104,0.0451,0.0479,0.0989,0.0717,-0.624,2.96,20.5,0.00181,0.0188,1,"BL-BRZ","AT1G18460",NA,NA,"Down","all_Down"
"163","AT1G18650","all",1.83,3.24,2.9,4.28,7.65,6.08,0.0204,0.0307,0.0336,0.0361,0.0729,0.06,0.0278,0.0534,1.18,2.12,64.9,3.56e-05,0.00173,0.827,"BL-BRZ","PDCB3",NA,NA,"Up","all_Up"
"164","AT1G18710","all",2.11,2.4,3.68,0.806,1.93,1.58,0.0166,0.0183,0.024,0.00654,0.0159,0.0133,0.019,0.0111,-0.973,1.07,18.4,0.0025,0.0229,1,"BL-BRZ","AtMYB47","MYB47","myb domain protein 47","Down","all_Down"
"165","AT1G18773","all",3.24,2.41,3.44,1.51,1.33,1.78,0.0253,0.0198,0.0265,0.0129,0.0155,0.0126,0.0233,0.0136,-0.975,1.2,24,0.00111,0.0137,1,"BL-BRZ","AT1G18773",NA,NA,"Down","all_Down"
"166","AT1G18870","all",2.24,1.14,0.785,0.226,0.0644,0.229,0.00612,0.00338,0.00452,0.00163,0.00073,0.00231,0.00461,0.00153,-2.96,-0.316,55.6,6.25e-05,0.00245,1,"BL-BRZ","ICS2",NA,NA,"Down","all_Down"
"167","AT1G18940","all",3.66,2.72,3.04,2.53,1.8,1.68,0.0349,0.0252,0.0311,0.0208,0.0206,0.0199,0.03,0.0205,-0.659,1.37,20.2,0.00189,0.0193,1,"BL-BRZ","AT1G18940",NA,NA,"Down","all_Down"
"168","AT1G19025","all",8.4,7,8.67,5.99,3.7,5.64,0.0849,0.064,0.0885,0.051,0.0453,0.0623,0.0771,0.0521,-0.66,2.72,13,0.00665,0.0441,1,"BL-BRZ","AT1G19025",NA,NA,"Down","all_Down"
"169","AT1G19540","all",0.76,2.07,2.53,1.67,3.69,4.2,0.00799,0.0163,0.0224,0.0134,0.0343,0.0383,0.0149,0.0261,0.887,1.32,27.9,0.000683,0.0103,1,"BL-BRZ","AT1G19540",NA,NA,"Up","all_Up"
"170","AT1G19660","all",4.19,8.94,13.8,2.52,2.84,4.78,0.035,0.0603,0.0867,0.0206,0.0275,0.0381,0.0577,0.0272,-1.31,2.63,23,0.00126,0.0148,1,"BL-BRZ","BBD2",NA,NA,"Down","all_Down"
"171","AT1G19700","all",39.5,26.2,27.9,23,14.2,18.8,0.205,0.135,0.174,0.158,0.121,0.125,0.169,0.138,-0.732,4.64,36.7,0.000271,0.00573,1,"BL-BRZ","BLH10","BEL10","BEL1-like homeodomain 10","Down","all_Down"
"172","AT1G19835","all",71.5,81.4,85.9,121,124,139,0.361,0.388,0.443,0.48,0.549,0.576,0.392,0.526,0.688,6.7,47.2,0.000112,0.00339,1,"BL-BRZ","FPP4",NA,NA,"Up","all_Up"
"173","AT1G19840","all",28.7,31.8,35.1,46.9,61,40.3,0.149,0.155,0.163,0.178,0.224,0.193,0.155,0.196,0.635,5.35,17.6,0.00283,0.0251,1,"BL-BRZ","AT1G19840",NA,NA,"Up","all_Up"
"174","AT1G19850","all",36.1,19.5,21.3,18.2,13,14.8,0.272,0.141,0.189,0.133,0.114,0.123,0.198,0.124,-0.699,4.36,32.1,0.000428,0.00758,1,"BL-BRZ","ARF5","MP","Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein","Down","all_Down"
"175","AT1G19900","all",17.8,43.2,43,10.2,8.9,14.2,0.0426,0.0618,0.0631,0.0379,0.0324,0.0403,0.0554,0.0368,-1.54,4.52,38.7,0.000228,0.00526,1,"BL-BRZ","AT1G19900",NA,NA,"Down","all_Down"
"176","AT1G19940","all",1.81,1.92,1.97,3.04,2.63,3,0.0206,0.021,0.0265,0.0269,0.033,0.0364,0.0222,0.0312,0.605,1.27,16.3,0.00357,0.0291,1,"BL-BRZ","AtGH9B5",NA,NA,"Up","all_Up"
"177","AT1G19960","all",0.385,0.804,1.02,1.28,2.13,2.87,0.00386,0.0089,0.0134,0.01,0.0251,0.0309,0.0082,0.0199,1.54,0.516,54.7,6.63e-05,0.00252,1,"BL-BRZ","AT1G19960",NA,NA,"Up","all_Up"
"178","AT1G19968","all",3.58,9.63,11.3,11.7,37,34.9,0.0193,0.0447,0.0448,0.0366,0.102,0.0922,0.0359,0.0708,1.76,4.17,270,1.42e-07,0.000111,0.00335,"BL-BRZ","AT1G19968",NA,NA,"Up","all_Up"
"179","AT1G20010","all",149,161,156,223,256,226,0.341,0.316,0.303,0.545,0.479,0.429,0.322,0.495,0.601,7.61,35.5,0.000304,0.00616,1,"BL-BRZ","TUBB5",NA,NA,"Up","all_Up"
"180","AT1G20030","all",12.1,8.33,7.63,6.02,4.27,3.24,0.0885,0.0678,0.0733,0.0491,0.0457,0.0325,0.0764,0.0439,-1.06,2.8,56.2,6.04e-05,0.00239,1,"BL-BRZ","AT1G20030",NA,NA,"Down","all_Down"
"181","AT1G20380","all",5.53,5.09,8.45,1.73,3.31,4.38,0.0398,0.0385,0.0511,0.0159,0.0251,0.0284,0.042,0.0219,-1.09,2.25,18.3,0.00254,0.0232,1,"BL-BRZ","AT1G20380",NA,NA,"Down","all_Down"
"182","AT1G20530","all",1.18,1.31,1.12,2.83,1.77,2.03,0.0113,0.0123,0.014,0.0193,0.0206,0.0216,0.0123,0.0203,0.848,0.789,18.9,0.00232,0.0219,1,"BL-BRZ","AT1G20530",NA,NA,"Up","all_Up"
"183","AT1G20693","all",174,182,242,121,134,120,0.536,0.51,0.593,0.443,0.526,0.496,0.539,0.482,-0.666,7.34,24.8,0.001,0.0129,1,"BL-BRZ","HMGB2","HMGB2","high mobility group B2","Down","all_Down"
"184","AT1G20850","all",133,116,136,88.7,65.8,97.1,0.0245,0.0359,0.0389,0.0385,0.0535,0.0545,0.0326,0.0471,-0.616,6.73,16.3,0.00353,0.0289,1,"BL-BRZ","XCP2",NA,NA,"Down","all_Down"
"185","AT1G21070","all",7.86,9.52,8.64,14.5,13.1,12.1,0.0747,0.084,0.0922,0.106,0.133,0.124,0.0827,0.119,0.609,3.46,22.6,0.00133,0.0154,1,"BL-BRZ","URGT2",NA,NA,"Up","all_Up"
"186","AT1G21100","all",2.55,4.31,3.4,2.16,0.432,0.699,0.0177,0.0193,0.0185,0.0156,0.00497,0.00621,0.0185,0.00997,-1.89,1.19,14.4,0.00499,0.0362,1,"BL-BRZ","IGMT1",NA,NA,"Down","all_Down"
"187","AT1G21110","all",2.85,3.84,3.37,1.9,0.534,1.07,0.0193,0.0165,0.0171,0.0107,0.00526,0.00816,0.0176,0.0084,-1.63,1.19,19.7,0.00204,0.0203,1,"BL-BRZ","IGMT3",NA,NA,"Down","all_Down"
"188","AT1G21360","all",10.9,5,4.76,14,8.74,13.2,0.0518,0.0303,0.0303,0.0715,0.0466,0.0502,0.0378,0.0585,0.897,3.24,17.9,0.00271,0.0243,1,"BL-BRZ","GLTP2",NA,NA,"Up","all_Up"
"189","AT1G21400","all",6.78,8.17,8.65,4.32,4.72,4.59,0.057,0.0598,0.067,0.0344,0.044,0.0399,0.0605,0.0387,-0.786,2.64,41.7,0.000175,0.00447,1,"BL-BRZ","AT1G21400",NA,NA,"Down","all_Down"
"190","AT1G21410","all",1.98,2.58,1.81,1.25,0.764,0.775,0.024,0.0284,0.0258,0.0122,0.0111,0.0121,0.0262,0.0118,-1.23,0.634,25.9,0.000862,0.0118,1,"BL-BRZ","SKP2A",NA,NA,"Down","all_Down"
"191","AT1G21510","all",0.731,1.09,1.24,2.5,1.76,2.58,0.00825,0.0103,0.0155,0.0177,0.0207,0.0245,0.0108,0.0203,1.18,0.735,23.1,0.00125,0.0148,1,"BL-BRZ","AT1G21510",NA,NA,"Up","all_Up"
"192","AT1G21550","all",4.65,3.11,2.96,1.58,1.39,1.4,0.0415,0.0286,0.0313,0.0125,0.0169,0.0153,0.0338,0.0145,-1.27,1.34,63.5,3.86e-05,0.00181,0.895,"BL-BRZ","CML44",NA,NA,"Down","all_Down"
"193","AT1G21590","all",6.93,7.47,6.51,5.26,3.76,4.08,0.0714,0.0755,0.0784,0.0473,0.0478,0.0511,0.0747,0.0484,-0.688,2.51,22.4,0.00138,0.0157,1,"BL-BRZ","AT1G21590",NA,NA,"Down","all_Down"
"194","AT1G21760","all",17.7,12,14.7,8.93,8.02,9.2,0.154,0.109,0.159,0.075,0.096,0.099,0.137,0.0875,-0.748,3.56,29.8,0.000551,0.0089,1,"BL-BRZ","SKIP32",NA,NA,"Down","all_Down"
"195","AT1G22030","all",4.8,8.98,9.07,8.32,12,16.7,0.0385,0.0614,0.0714,0.0486,0.0971,0.113,0.0557,0.0799,0.708,3.32,23.9,0.00111,0.0137,1,"BL-BRZ","AT1G22030",NA,NA,"Up","all_Up"
"196","AT1G22050","all",7.07,6.55,9.1,9.54,12.7,14.7,0.0651,0.0631,0.0989,0.0737,0.122,0.129,0.0723,0.102,0.681,3.31,18,0.00267,0.024,1,"BL-BRZ","MUB6",NA,NA,"Up","all_Up"
"197","AT1G22160","all",0.592,1.34,2.06,0.393,0.893,0.863,0.00493,0.0134,0.0189,0.00388,0.0101,0.0105,0.0117,0.00745,-0.843,0.053,13.1,0.00644,0.0431,1,"BL-BRZ","FLZ5",NA,NA,"Down","all_Down"
"198","AT1G22220","all",9.42,18.5,19.9,25.4,32.4,32.5,0.0656,0.105,0.112,0.107,0.158,0.148,0.0928,0.133,0.979,4.53,46.2,0.000122,0.00356,1,"BL-BRZ","AT1G22220",NA,NA,"Up","all_Up"
"199","AT1G22290","all",1.99,1.42,2.46,0.295,0.488,0.688,0.0204,0.0149,0.0248,0.00276,0.00643,0.00922,0.0191,0.00552,-2.04,0.306,41.2,0.000183,0.00456,1,"BL-BRZ","AT1G22290",NA,NA,"Down","all_Down"
"200","AT1G22330","all",24.8,20.3,20.9,41,41,48,0.161,0.143,0.156,0.229,0.278,0.301,0.153,0.262,0.982,5.03,71.9,2.43e-05,0.00138,0.565,"BL-BRZ","AT1G22330",NA,NA,"Up","all_Up"
"201","AT1G22360","all",195,122,119,104,73.3,78.5,0.682,0.403,0.415,0.501,0.366,0.342,0.503,0.419,-0.749,6.85,53.8,7.07e-05,0.00261,1,"BL-BRZ","UGT85A2",NA,NA,"Down","all_Down"
"202","AT1G22440","all",106,127,162,54.3,71,49.4,0.423,0.367,0.412,0.274,0.305,0.26,0.397,0.28,-1.16,6.57,49.4,9.63e-05,0.00314,1,"BL-BRZ","AT1G22440",NA,NA,"Down","all_Down"
"203","AT1G22570","all",4.3,3.2,2.74,5.42,4.85,5.35,0.045,0.0303,0.0332,0.0485,0.0564,0.0628,0.0361,0.0545,0.628,2.11,16.7,0.00333,0.0279,1,"BL-BRZ","NPF5.15",NA,NA,"Up","all_Up"
"204","AT1G22640","all",78.6,75.5,93.4,121,141,113,0.305,0.247,0.282,0.36,0.37,0.365,0.275,0.364,0.601,6.7,22.3,0.00139,0.0157,1,"BL-BRZ","MYB3","MYB3","myb domain protein 3","Up","all_Up"
"205","AT1G22910","all",16.6,19.6,17.3,26.2,28.1,29.9,0.126,0.136,0.139,0.178,0.22,0.225,0.133,0.203,0.655,4.52,46.5,0.000119,0.00351,1,"BL-BRZ","AT1G22910",NA,NA,"Up","all_Up"
"206","AT1G22930","all",167,118,139,99.5,70.6,83.1,0.627,0.464,0.575,0.487,0.406,0.414,0.547,0.443,-0.743,6.82,42.2,0.000168,0.00436,1,"BL-BRZ","AT1G22930",NA,NA,"Down","all_Down"
"207","AT1G23060","all",12.6,9.83,11.3,23.9,17.2,16.2,0.0942,0.061,0.0749,0.156,0.125,0.118,0.0759,0.137,0.75,3.92,44.9,0.000135,0.00378,1,"BL-BRZ","AT1G23060",NA,NA,"Up","all_Up"
"208","AT1G23090","all",4.41,2.31,3.83,2.79,1.18,1.43,0.0302,0.014,0.0214,0.0196,0.0115,0.0135,0.0214,0.0156,-1.03,1.42,19.7,0.00203,0.0202,1,"BL-BRZ","SULTR3;3",NA,NA,"Down","all_Down"
"209","AT1G23330","all",12.6,9.63,11.4,5.76,5.5,6.45,0.117,0.0959,0.12,0.0515,0.0678,0.0727,0.109,0.0619,-0.92,3.1,44.1,0.000143,0.00392,1,"BL-BRZ","AT1G23330",NA,NA,"Down","all_Down"
"210","AT1G23350","all",0.0987,0.24,0.289,0.354,0.525,0.939,0.00106,0.0027,0.00374,0.00255,0.00686,0.00887,0.00238,0.00548,1.56,-1.24,22.6,0.00134,0.0154,1,"BL-BRZ","AT1G23350",NA,NA,"Up","all_Up"
