GeneID,Name,Description
AT4G20400,JMJ14,JUMONJI 14
AT4G20970,AT4G20970,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G21060,AT4G21060,Galactosyltransferase family protein
AT4G21330,DYT1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G21340,B70,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G21430,B160,protein B160
AT4G21440,MYB102,MYB-like 102
AT4G21610,LOL2,lsd one like 2
AT4G22140,EBS,PHD finger family protein / bromo-adjacent homology (BAH) domain-containing protein
AT4G22360,AT4G22360,SWIB complex BAF60b domain-containing protein
AT4G22680,MYB85,myb domain protein 85
AT4G22700,LBD32,LOB domain-containing protein 32
AT4G22745,MBD1,methyl-CPG-binding domain 1
AT4G22820,AT4G22820,A20/AN1-like zinc finger family protein
AT4G23800,3xHMG-box2,HMG (high mobility group) box protein
AT4G23860,AT4G23860,PHD finger protein-like protein
AT4G23980,ARF9,auxin response factor 9
AT4G24020,NLP7,NIN like protein 7
AT4G24150,GRF8,growth-regulating factor 8
AT4G24660,HB22,homeobox protein 22
AT4G25110,MC2,metacaspase 2
AT4G25210,AT4G25210,DNA-binding storekeeper protein-related transcriptional regulator
AT4G25380,SAP10,stress-associated protein 10
AT4G25400,AT4G25400,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G25410,AT4G25410,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G25440,ZFWD1,zinc finger WD40 repeat protein 1
AT4G25470,CBF2,C-repeat/DRE binding factor 2
AT4G25480,DREB1A,dehydration response element B1A
AT4G25490,CBF1,C-repeat/DRE binding factor 1
AT4G25530,FWA,FLOWERING WAGENINGEN
AT4G25560,LAF1,myb domain protein 18
AT4G25610,AT4G25610,C2H2-like zinc finger protein
AT4G25990,CIL,CCT motif family protein
AT4G26030,AT4G26030,C2H2-like zinc finger protein
AT4G26120,AT4G26120,Ankyrin repeat family protein / BTB/POZ domain-containing protein
AT4G26170,AT4G26170,transcription factor
AT4G26810,AT4G26810,SWIB/MDM2 domain superfamily protein
AT4G26930,MYB97,myb domain protein 97
AT4G27230,HTA2,histone H2A 2
AT4G27240,AT4G27240,zinc finger (C2H2 type) family protein
AT4G27310,BBX28,B-box type zinc finger family protein
AT4G27330,SPL,sporocyteless (SPL)
AT4G27900,AT4G27900,CCT motif family protein
AT4G27910,SDG16,SET domain protein 16
AT4G27950,CRF4,cytokinin response factor 4
AT4G28030,AT4G28030,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT4G28110,MYB41,myb domain protein 41
AT4G28140,AT4G28140,Integrase-type DNA-binding superfamily protein
AT4G28190,ULT1,"Developmental regulator, ULTRAPETALA"
AT4G28270,RMA2,RING membrane-anchor 2
AT4G28640,IAA11,indole-3-acetic acid inducible 11
AT4G28790,AT4G28790,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G28800,AT4G28800,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G28811,AT4G28811,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G28815,AT4G28815,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G29000,AT4G29000,Tesmin/TSO1-like CXC domain-containing protein
AT4G29080,PAP2,phytochrome-associated protein 2
AT4G29100,AT4G29100,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G29190,OZF2,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT4G29230,NAC075,NAC domain containing protein 75
AT4G29930,AT4G29930,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G30180,AT4G30180,hypothetical protein
AT4G30410,AT4G30410,sequence-specific DNA binding transcription factor
AT4G30860,SDG4,SET domain group 4
AT4G30935,WRKY32,WRKY DNA-binding protein 32
AT4G31060,AT4G31060,Integrase-type DNA-binding superfamily protein
AT4G31420,AT4G31420,Zinc finger protein 622
AT4G31580,RSZ22,serine/arginine-rich 22
AT4G31610,REM1,Transcriptional factor B3 family protein
AT4G31615,AT4G31615,Transcriptional factor B3 family protein
AT4G31620,AT4G31620,Transcriptional factor B3 family protein
AT4G31630,AT4G31630,Transcriptional factor B3 family protein
AT4G31650,AT4G31650,Transcriptional factor B3 family protein
AT4G31720,TAFII15,TBP-associated factor II 15
AT4G31795,,
AT4G31800,WRKY18,WRKY DNA-binding protein 18
AT4G31900,PKR2,chromatin remodeling factor
AT4G32040,KNAT5,homeobox protein knotted-1-like 5
AT4G32280,IAA29,indole-3-acetic acid inducible 29
AT4G32551,LUG,transcriptional corepressor LEUNIG
AT4G32570,TIFY8,TIFY domain protein 8
AT4G32800,AT4G32800,Integrase-type DNA-binding superfamily protein
AT4G33880,RSL2,ROOT HAIR DEFECTIVE 6-LIKE 2
AT4G34000,ABF3,abscisic acid responsive elements-binding factor 3
AT4G34290,AT4G34290,SWIB/MDM2 domain superfamily protein
AT4G34400,AT4G34400,AP2/B3-like transcriptional factor family protein
AT4G34430,CHB3,DNA-binding family protein
AT4G34530,CIB1,cryptochrome-interacting basic-helix-loop-helix 1
AT4G34990,MYB32,myb domain protein 32
AT4G35270,AT4G35270,Plant regulator RWP-RK family protein
AT4G35570,HMGB5,high mobility group B5
AT4G35590,RKD5,RWP-RK domain-containing protein
AT4G35610,AT4G35610,zinc finger (C2H2 type) family protein
AT4G35700,DAZ3,zinc finger (C2H2 type) family protein
AT4G35900,FD,Basic-leucine zipper (bZIP) transcription factor family protein
AT4G36020,CSDP1,cold shock domain protein 1
AT4G36050,AT4G36050,endonuclease/exonuclease/phosphatase family protein
AT4G36160,NAC076,NAC domain containing protein 76
AT4G36260,STY2,Lateral root primordium (LRP) protein-like protein
AT4G36540,BEE2,BR enhanced expression 2
AT4G36570,RL3,RAD-like 3
AT4G36710,HAM4,GRAS family transcription factor
AT4G36730,GBF1,G-box binding factor 1
AT4G36780,BEH2,BES1/BZR1 homolog 2
AT4G36860,AT4G36860,LIM domain-containing protein
AT4G36930,SPT,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G37260,MYB73,myb domain protein 73
AT4G37540,LBD39,LOB domain-containing protein 39
AT4G37580,HLS1,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT4G37610,BT5,BTB and TAZ domain protein 5
AT4G37650,SHR,GRAS family transcription factor
AT4G37670,NAGS2,N-acetyl-l-glutamate synthase 2
AT4G37740,GRF2,growth-regulating factor 2
AT4G38070,AT4G38070,transcription factor bHLH131-like protein
AT4G38140,AT4G38140,RING/U-box superfamily protein
AT4G38160,pde191,Mitochondrial transcription termination factor family protein
AT4G38170,FRS9,FAR1-related sequence 9
AT4G38180,FRS5,FAR1-related sequence 5
AT4G38340,AT4G38340,Plant regulator RWP-RK family protein
AT4G38620,MYB4,myb domain protein 4
AT4G38680,GRP2,glycine rich protein 2
AT4G38910,BPC5,basic pentacysteine 5
AT4G38960,BBX19,B-box type zinc finger family protein
AT4G39070,BZS1,B-box zinc finger family protein
AT4G39100,SHL1,PHD finger family protein / bromo-adjacent homology (BAH) domain-containing protein
AT4G39160,AT4G39160,Homeodomain-like superfamily protein
AT4G39250,RL1,RAD-like 1
AT4G39780,AT4G39780,Integrase-type DNA-binding superfamily protein
AT5G01160,AT5G01160,RING/U-box superfamily protein
AT5G01310,APTX,APRATAXIN-like protein
AT5G01380,AT5G01380,Homeodomain-like superfamily protein
AT5G01840,OFP1,ovate family protein 1
AT5G01860,AT5G01860,C2H2 and C2HC zinc fingers superfamily protein
AT5G01900,WRKY62,WRKY DNA-binding protein 62
AT5G02460,AT5G02460,Dof-type zinc finger DNA-binding family protein
AT5G02470,DPA,Transcription factor DP
AT5G02810,PRR7,pseudo-response regulator 7
AT5G02840,LCL1,LHY/CCA1-like 1
AT5G03150,JKD,C2H2-like zinc finger protein
AT5G03220,AT5G03220,"Mediator complex, subunit Med7"
AT5G03415,DPB,Transcription factor DP
AT5G03500,AT5G03500,"Mediator complex, subunit Med7"
AT5G03510,AT5G03510,C2H2-type zinc finger family protein
AT5G03680,PTL,Duplicated homeodomain-like superfamily protein
AT5G03720,HSFA3,heat shock transcription factor A3
AT5G03740,HD2C,histone deacetylase 2C
AT5G03780,TRFL10,TRF-like 10
AT5G04110,GYRB3,DNA GYRASE B3
AT5G04240,ELF6,Zinc finger (C2H2 type) family protein / transcription factor jumonji (jmj) family protein
AT5G04340,ZAT6,6
AT5G04390,AT5G04390,C2H2-type zinc finger family protein
AT5G04400,NAC077,NAC domain protein
AT5G04760,AT5G04760,Duplicated homeodomain-like superfamily protein
AT5G04820,OFP13,ovate family protein 13
AT5G04940,SUVH1,SU(VAR)3-9 homolog 1
AT5G05090,AT5G05090,Homeodomain-like superfamily protein
AT5G05120,AT5G05120,C2H2 and C2HC zinc fingers superfamily protein
AT5G05130,AT5G05130,DNA/RNA helicase protein
AT5G05330,AT5G05330,HMG-box (high mobility group) DNA-binding family protein
AT5G05550,AT5G05550,sequence-specific DNA binding transcription factor
AT5G05610,AL1,alfin-like 1
AT5G05660,NFXL2,NF-X1-type zinc finger protein NFXL2
AT5G06070,RBE,C2H2 and C2HC zinc fingers superfamily protein
AT5G06080,LBD33,LOB domain-containing protein 33
AT5G06100,MYB33,myb domain protein 33
AT5G06110,AT5G06110,DnaJ and myb-like DNA-binding domain-containing protein
AT5G06160,ATO,splicing factor-like protein
AT5G06250,DPA4,AP2/B3-like transcriptional factor family protein
AT5G06420,AT5G06420,Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT5G06510,NF-YA10,"nuclear factor Y, subunit A10"
AT5G06550,AT5G06550,transferring glycosyl group transferase
AT5G06650,GIS2,C2H2 and C2HC zinc fingers superfamily protein
AT5G06770,AT5G06770,KH domain-containing protein / zinc finger (CCCH type) family protein
AT5G06810,AT5G06810,transcription termination factor family protein
AT5G07060,MAC5C,CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein
AT5G07160,AT5G07160,Basic-leucine zipper (bZIP) transcription factor family protein
AT5G07210,RR21,response regulator 21
AT5G07310,AT5G07310,Integrase-type DNA-binding superfamily protein
AT5G07400,AT5G07400,forkhead-associated domain-containing protein / FHA domain-containing protein
AT5G07500,PEI1,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT5G07680,NAC080,NAC domain containing protein 80
AT5G07690,MYB29,myb domain protein 29
AT5G07700,MYB76,myb domain protein 76
AT5G07810,AT5G07810,SNF2 domain-containing protein / helicase domain-containing protein / HNH endonuclease domain-containing protein
AT5G07900,AT5G07900,Mitochondrial transcription termination factor family protein
AT5G08130,BIM1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G08141,bZIP75,basic leucine-zipper 75
AT5G08190,NF-YB12,"nuclear factor Y, subunit B12"
AT5G08430,AT5G08430,SWIB/MDM2 and Plus-3 and GYF domain-containing protein
AT5G08520,AT5G08520,Duplicated homeodomain-like superfamily protein
AT5G08630,AT5G08630,DDT domain-containing protein
AT5G09240,AT5G09240,ssDNA-binding transcriptional regulator
AT5G09250,KIWI,ssDNA-binding transcriptional regulator
AT5G09330,NAC082,NAC domain containing protein 82
AT5G09410,EICBP.B,ethylene induced calmodulin binding protein
AT5G09460,AT5G09460,transcription factor bHLH143
AT5G09740,HAM2,histone acetyltransferase of the MYST family 2
AT5G09750,HEC3,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G09780,AT5G09780,Transcriptional factor B3 family protein
AT5G09790,ATXR5,TRITHORAX-RELATED PROTEIN 5
AT5G10120,AT5G10120,Ethylene insensitive 3 family protein
AT5G10280,MYB92,myb domain protein 92
AT5G10380,RING1,RING/U-box superfamily protein
AT5G10510,AIL6,AINTEGUMENTA-like 6
AT5G10570,AT5G10570,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G10720,HK5,histidine kinase 5
AT5G10970,AT5G10970,C2H2 and C2HC zinc fingers superfamily protein
AT5G11050,MYB64,myb domain protein 64
AT5G11060,KNAT4,homeobox protein knotted-1-like 4
AT5G11190,SHN2,Integrase-type DNA-binding superfamily protein
AT5G11340,AT5G11340,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT5G11590,TINY2,Integrase-type DNA-binding superfamily protein
AT5G12330,LRP1,Lateral root primordium (LRP) protein-like protein
AT5G12400,AT5G12400,PHD-finger and DNA binding domain-containing protein
AT5G12440,AT5G12440,CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein
AT5G12850,AT5G12850,CCCH-type zinc finger protein with ARM repeat domain-containing protein
AT5G12980,AT5G12980,"Cell differentiation, Rcd1-like protein"
AT5G13060,ABAP1,ARMADILLO BTB protein 1
AT5G13220,JAZ10,jasmonate-zim-domain protein 10
AT5G13730,SIG4,sigma factor 4
AT5G13780,AT5G13780,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT5G13910,LEP,Integrase-type DNA-binding superfamily protein
AT5G13920,AT5G13920,GRF zinc finger / Zinc knuckle protein
AT5G13960,SUVH4,"histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH4-like protein"
AT5G14000,NAC084,NAC domain containing protein 84
AT5G14010,KNU,C2H2 and C2HC zinc fingers superfamily protein
AT5G14140,AT5G14140,nucleic acid binding / zinc ion binding protein
AT5G14170,CHC1,SWIB/MDM2 domain superfamily protein
AT5G14260,AT5G14260,Rubisco methyltransferase family protein
AT5G14280,AT5G14280,DNA-binding storekeeper-like protein
AT5G14340,MYB40,myb domain protein 40
AT5G14370,AT5G14370,CCT motif family protein
AT5G14490,NAC085,NAC domain containing protein 85
AT5G14960,DEL2,DP-E2F-like 2
AT5G15020,SNL2,SIN3-like 2
AT5G15030,AT5G15030,paired amphipathic helix Sin3-like protein
AT5G15040,AT5G15040,Paired amphipathic helix (PAH2) superfamily protein
AT5G15060,AT5G15060,Lateral organ boundaries (LOB) domain family protein
AT5G15130,WRKY72,WRKY DNA-binding protein 72
AT5G15160,BNQ2,BANQUO 2
AT5G15210,HB30,homeobox protein 30
AT5G15310,MYB16,myb domain protein 16
AT5G15480,AT5G15480,C2H2-type zinc finger family protein
AT5G15540,EMB2773,PHD finger family protein
AT5G15770,GNA1,glucose-6-phosphate acetyltransferase 1
AT5G15830,bZIP3,basic leucine-zipper 3
AT5G15840,CO,B-box type zinc finger protein with CCT domain-containing protein
AT5G15850,COL1,CONSTANS-like 1
AT5G16470,AT5G16470,zinc finger (C2H2 type) family protein
AT5G16540,ZFN3,zinc finger nuclease 3
AT5G16560,KAN,Homeodomain-like superfamily protein
AT5G16600,MYB43,myb domain protein 43
AT5G16680,AT5G16680,RING/FYVE/PHD zinc finger superfamily protein
AT5G16770,MYB9,myb domain protein 9
AT5G16780,DOT2,SART-1 family
AT5G16800,AT5G16800,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT5G17240,SDG40,SET domain group 40
AT5G17260,NAC086,NAC domain containing protein 86
AT5G17320,HDG9,homeodomain GLABROUS 9
AT5G17430,BBM,Integrase-type DNA-binding superfamily protein
AT5G17490,RGL3,RGA-like protein 3
AT5G17890,DAR4,DA1-related protein 4
AT5G18000,VDD,VERDANDI
AT5G18037,AT5G18037,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT5G18090,AT5G18090,AP2/B3-like transcriptional factor family protein
AT5G18300,NAC088,NAC domain containing protein 88
AT5G18550,AT5G18550,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT5G18560,PUCHI,Integrase-type DNA-binding superfamily protein
AT5G18620,CHR17,chromatin remodeling factor17
AT5G18680,TLP11,tubby like protein 11
AT5G18830,SPL7,squamosa promoter binding protein-like 7
AT5G18960,FRS12,FAR1-related sequence 12
AT5G19280,KAPP,kinase associated protein phosphatase
AT5G19310,CHR23,homeotic protein regulator
AT5G19330,ARIA,ARM repeat protein interacting with ABF2
AT5G19490,AT5G19490,Histone superfamily protein
AT5G19650,OFP8,ovate family protein 8
AT5G19910,MED31,SOH1 family protein
AT5G20420,CHR42,chromatin remodeling 42
AT5G20510,AL5,alfin-like 5
AT5G20730,NPH4,Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein
AT5G20900,JAZ12,jasmonate-zim-domain protein 12
AT5G20910,AIP2,RING/U-box superfamily protein
AT5G21960,AT5G21960,Integrase-type DNA-binding superfamily protein
AT5G22220,E2F1,E2F transcription factor 1
AT5G22240,OFP10,Ovate family protein
AT5G22260,MS1,RING/FYVE/PHD zinc finger superfamily protein
AT5G22750,RAD5,DNA/RNA helicase protein
AT5G22760,AT5G22760,PHD finger family protein
AT5G22890,AT5G22890,C2H2 and C2HC zinc fingers superfamily protein
AT5G22990,AT5G22990,C2H2-like zinc finger protein
AT5G23000,MYB37,myb domain protein 37
AT5G23090,NF-YB13,"nuclear factor Y, subunit B13"
AT5G23405,AT5G23405,HMG-box (high mobility group) DNA-binding family protein
AT5G23420,HMGB6,high-mobility group box 6
AT5G23650,AT5G23650,Homeodomain-like transcriptional regulator
AT5G23930,AT5G23930,Mitochondrial transcription termination factor family protein
AT5G24050,AT5G24050,plant-specific B3-DNA-binding domain protein (DUF313)
AT5G24120,SIGE,sigma factor E
AT5G24320,AT5G24320,Transducin/WD40 repeat-like superfamily protein
AT5G24330,ATXR6,TRITHORAX-RELATED PROTEIN 6
AT5G24470,PRR5,two-component response regulator-like protein
AT5G24520,TTG1,Transducin/WD40 repeat-like superfamily protein
AT5G24930,COL4,zinc finger CONSTANS-like protein
AT5G25190,ESE3,Integrase-type DNA-binding superfamily protein
AT5G25220,KNAT3,homeobox protein knotted-1-like 3
AT5G25390,SHN3,Integrase-type DNA-binding superfamily protein
AT5G25470,AT5G25470,AP2/B3-like transcriptional factor family protein
AT5G25475,AT5G25475,AP2/B3-like transcriptional factor family protein
AT5G25790,AT5G25790,Tesmin/TSO1-like CXC domain-containing protein
AT5G25890,IAA28,indole-3-acetic acid inducible 28
AT5G26210,AL4,alfin-like 4
AT5G26594,RR24,response regulator 24
AT5G26610,AT5G26610,D111/G-patch domain-containing protein
AT5G26630,AT5G26630,MADS-box transcription factor family protein
AT5G26650,AGL36,AGAMOUS-like 36
AT5G26660,MYB86,myb domain protein 86
AT5G26749,AT5G26749,C2H2 and C2HC zinc fingers superfamily protein
AT5G26805,AT5G26805,B3 domain protein
AT5G26880,AGL26,tRNA (cytidine(34)-2'-O)-methyltransferase
AT5G27050,AGL101,AGAMOUS-like 101
AT5G27610,ALY1,protein ALWAYS EARLY 1
AT5G27810,AT5G27810,MADS-box transcription factor family protein
AT5G27880,AT5G27880,C2H2 and C2HC zinc fingers superfamily protein
AT5G27910,NF-YC8,"nuclear factor Y, subunit C8"
AT5G27944,AT5G27944,MADS-box transcription factor family protein
AT5G27960,AGL90,AGAMOUS-like 90
AT5G28040,AT5G28040,DNA-binding storekeeper protein-related transcriptional regulator
AT5G28300,AT5G28300,Duplicated homeodomain-like superfamily protein
AT5G28530,FRS10,FAR1-related sequence 10
AT5G28640,AN3,SSXT family protein
AT5G33210,SRS8,SHI-related sequence 8
AT5G35210,PTM,PHD type transcription factor with transmembrane domain protein (PTM)
AT5G35330,MBD02,methyl-CPG-binding domain protein 02
AT5G35338,MBD12,methyl-CPG-binding domain 12
AT5G35610,AT5G35610,Paired amphipathic helix (PAH2) superfamily protein
AT5G35750,HK2,histidine kinase 2
AT5G35770,SAP,Transducin/WD40 repeat-like superfamily protein
AT5G35900,LBD35,LOB domain-containing protein 35
AT5G36670,AT5G36670,RING/FYVE/PHD zinc finger superfamily protein
AT5G36740,AT5G36740,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein
AT5G37020,ARF8,auxin response factor 8
AT5G37415,AGL105,AGAMOUS-like 105
AT5G37800,RSL1,RHD SIX-LIKE 1
AT5G38140,NF-YC12,"nuclear factor Y, subunit C12"
AT5G38490,AT5G38490,B3 domain protein (DUF313)
AT5G38740,AGL77,AGAMOUS-like 77
AT5G38840,AT5G38840,SMAD/FHA domain-containing protein
AT5G38860,BIM3,BES1-interacting Myc-like protein 3
AT5G39690,NAC093,NAC domain containing protein 93
AT5G39700,MYB89,myb domain protein 89
AT5G39760,HB23,homeobox protein 23
AT5G39810,AGL98,AGAMOUS-like 98
AT5G39860,PRE1,basic helix-loop-helix (bHLH) DNA-binding family protein
AT5G40310,AT5G40310,Exonuclease family protein
AT5G40350,MYB24,myb domain protein 24
AT5G40430,MYB22,myb domain protein 22
AT5G40710,AT5G40710,zinc finger (C2H2 type) family protein
AT5G40880,AT5G40880,WD-40 repeat family protein / zfwd3 protein (ZFWD3)
AT5G41020,AT5G41020,myb family transcription factor
AT5G41090,NAC095,NAC domain containing protein 95
AT5G41200,AGL75,AGAMOUS-like 75
AT5G41380,AT5G41380,CCT motif family protein
AT5G41580,AT5G41580,RING/U-box superfamily protein
AT5G41765,AT5G41765,DNA-binding storekeeper protein-related transcriptional regulator
AT5G41920,AT5G41920,GRAS family transcription factor
AT5G42400,SDG25,SET domain protein 25
AT5G42520,BPC6,basic pentacysteine 6
AT5G42630,ATS,Homeodomain-like superfamily protein
AT5G42640,AT5G42640,C2H2 and C2HC zinc fingers superfamily protein
AT5G42700,AT5G42700,AP2/B3-like transcriptional factor family protein
AT5G42780,HB27,homeobox protein 27
AT5G42820,U2AF35B,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT5G42910,AT5G42910,Basic-leucine zipper (bZIP) transcription factor family protein
AT5G43170,ZF3,zinc-finger protein 3
AT5G43175,AT5G43175,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G43250,NF-YC13,"nuclear factor Y, subunit C13"
AT5G43410,AT5G43410,Integrase-type DNA-binding superfamily protein
AT5G43530,AT5G43530,Helicase protein with RING/U-box domain-containing protein
AT5G43540,AT5G43540,C2H2 and C2HC zinc fingers superfamily protein
AT5G43620,AT5G43620,Pre-mRNA cleavage complex II
AT5G43650,BHLH92,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G43700,ATAUX2-11,AUX/IAA transcriptional regulator family protein
AT5G43840,HSFA6A,heat shock transcription factor A6A
AT5G43990,SUVR2,SET-domain containing protein lysine methyltransferase family protein
AT5G44080,AT5G44080,Basic-leucine zipper (bZIP) transcription factor family protein
AT5G44160,NUC,C2H2-like zinc finger protein
AT5G44180,RLT2,Homeodomain-like transcriptional regulator
AT5G44190,GLK2,GOLDEN2-like 2
AT5G44210,ERF9,erf domain protein 9
AT5G44260,AT5G44260,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT5G44800,CHR4,chromatin remodeling 4
AT5G45050,TTR1,Disease resistance protein (TIR-NBS-LRR class)
AT5G45110,NPR3,NPR1-like protein 3
AT5G45113,AT5G45113,mitochondrial transcription termination factor-related / mTERF-like protein
AT5G45260,RRS1,Disease resistance protein (TIR-NBS-LRR class)
AT5G45300,BMY2,beta-amylase 2
AT5G45420,maMYB,Duplicated homeodomain-like superfamily protein
AT5G45710,RHA1,winged-helix DNA-binding transcription factor family protein
AT5G46010,AT5G46010,Homeodomain-like superfamily protein
AT5G46690,bHLH071,beta HLH protein 71
AT5G46710,AT5G46710,PLATZ transcription factor family protein
AT5G46830,NIG1,calcium-binding transcription factor NIG1
AT5G46880,HB-7,homeobox-7
AT5G46910,AT5G46910,Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
AT5G46915,AT5G46915,transcriptional factor B3 family protein
AT5G47140,GATA27,GATA transcription factor 27
AT5G47390,AT5G47390,myb-like transcription factor family protein
AT5G47640,NF-YB2,"nuclear factor Y, subunit B2"
AT5G47660,AT5G47660,Homeodomain-like superfamily protein
AT5G47670,NF-YB6,"nuclear factor Y, subunit B6"
AT5G47790,AT5G47790,SMAD/FHA domain-containing protein
AT5G48150,PAT1,GRAS family transcription factor
AT5G48250,BBX8,B-box type zinc finger protein with CCT domain-containing protein
AT5G48510,AT5G48510,BTB/POZ domain-containing protein
AT5G48560,AT5G48560,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G48890,LATE,C2H2-like zinc finger protein
AT5G49200,AT5G49200,WD-40 repeat family protein / zfwd4 protein (ZFWD4)
AT5G49240,APRR4,pseudo-response regulator 4
AT5G50010,AT5G50010,transcription factor bHLH145
AT5G50080,ERF110,ethylene response factor 110
AT5G50320,ELO3,radical SAM domain-containing protein / GCN5-related N-acetyltransferase (GNAT) family protein
AT5G50470,NF-YC7,"nuclear factor Y, subunit C7"
AT5G50480,NF-YC6,"nuclear factor Y, subunit C6"
AT5G50490,NF-YC5,"nuclear factor Y, subunit C5"
AT5G50570,SPL13A,Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein
AT5G50670,SPL13B,Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein
AT5G50820,NAC097,NAC domain containing protein 97
AT5G50915,AT5G50915,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G51230,EMF2,VEFS-Box of polycomb protein
AT5G51780,AT5G51780,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G51790,AT5G51790,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G51980,AT5G51980,Transducin/WD40 repeat-like superfamily protein
AT5G51990,CBF4,C-repeat-binding factor 4
AT5G52010,AT5G52010,C2H2-like zinc finger protein
AT5G52170,HDG7,homeodomain GLABROUS 7
AT5G52230,MBD13,methyl-CPG-binding domain protein 13
AT5G52260,MYB19,myb domain protein 19
AT5G52510,SCL8,SCARECROW-like 8
AT5G52660,AT5G52660,Homeodomain-like superfamily protein
AT5G53040,RKD4,RWP-RK domain-containing protein
AT5G53200,TRY,Homeodomain-like superfamily protein
AT5G53210,SPCH,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G53290,CRF3,cytokinin response factor 3
AT5G53420,AT5G53420,CCT motif family protein
AT5G53430,SDG29,SET domain group 29
AT5G53660,GRF7,growth-regulating factor 7
AT5G54067,AT5G54067,B3 domain protein
AT5G54070,HSFA9,heat shock transcription factor A9
AT5G54180,PTAC15,plastid transcriptionally active 15
AT5G54340,AT5G54340,C2H2 and C2HC zinc fingers superfamily protein
AT5G54360,AT5G54360,C2H2-like zinc finger protein
AT5G54470,BBX29,B-box type zinc finger family protein
AT5G54630,AT5G54630,zinc finger protein-like protein
AT5G54640,RAT5,Histone superfamily protein
AT5G54680,ILR3,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G55020,MYB120,myb domain protein 120
AT5G55580,AT5G55580,Mitochondrial transcription termination factor family protein
AT5G56110,MYB80,myb domain protein 103
AT5G56200,AT5G56200,C2H2 type zinc finger transcription factor family
AT5G56620,NAC099,NAC domain containing protein 99
AT5G56780,ET2,effector of transcription2
AT5G56840,AT5G56840,myb-like transcription factor family protein
AT5G56900,AT5G56900,CwfJ-like family protein / zinc finger (CCCH-type) family protein
AT5G56930,EMB1789,CCCH-type zinc finger family protein
AT5G56960,AT5G56960,basic helix-loop-helix (bHLH) DNA-binding family protein
AT5G57150,AT5G57150,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G57180,CIA2,chloroplast import apparatus 2
AT5G57390,AIL5,AINTEGUMENTA-like 5
AT5G57420,IAA33,indole-3-acetic acid inducible 33
AT5G57660,COL5,CONSTANS-like 5
AT5G57720,AT5G57720,AP2/B3-like transcriptional factor family protein
AT5G58010,LRL3,LJRHL1-like 3
AT5G58080,RR18,response regulator 18
AT5G58280,AT5G58280,AP2/B3-like transcriptional factor family protein
AT5G58340,AT5G58340,myb-like HTH transcriptional regulator family protein
AT5G58360,OFP3,ovate family protein 3
AT5G58610,AT5G58610,PHD finger transcription factor
AT5G58620,AT5G58620,zinc finger (CCCH-type) family protein
AT5G58850,MYB119,myb domain protein 119
AT5G59380,MBD6,methyl-CPG-binding domain 6
AT5G59430,TRP1,telomeric repeat binding protein 1
AT5G59450,AT5G59450,GRAS family transcription factor
